nm,R
1200,49.377965
1198,49.350166
1196,49.337254
1194,49.349047
1192,49.349816
1190,49.333162
1188,49.256439
1186,49.36113
1184,49.294746
1182,49.33429
1180,49.249882
1178,49.24411
1176,49.258053
1174,49.094423
1172,49.088194
1170,49.052621
1168,49.077962
1166,48.958462
1164,48.989198
1162,48.890562
1160,48.893385
1158,48.759511
1156,48.762397
1154,48.689182
1152,48.664211
1150,48.545861
1148,48.492895
1146,48.424407
1144,48.410057
1142,48.304913
1140,48.280946
1138,48.193556
1136,48.061993
1134,47.981122
1132,47.944431
1130,47.805632
1128,47.868692
1126,47.766413
1124,47.688386
1122,47.480062
1120,47.467533
1118,47.385972
1116,47.207652
1114,47.22226
1112,47.103436
1110,47.002976
1108,46.879296
1106,46.773876
1104,46.66369
1102,46.550278
1100,46.541934
1098,46.335091
1096,46.289474
1094,46.151087
1092,46.077769
1090,45.961164
1088,45.903678
1086,45.812961
1084,45.676184
1082,45.618754
1080,45.488499
1078,45.402275
1076,45.278531
1074,45.20857
1072,45.086183
1070,44.990585
1068,44.960962
1066,44.745725
1064,44.66671
1062,44.598676
1060,44.458121
1058,44.35298
1056,44.136981
1054,44.025778
1052,43.905605
1050,43.907925
1048,43.809553
1046,43.71194
1044,43.55608
1042,43.516172
1040,43.455246
1038,43.277095
1036,43.233899
1034,43.157822
1032,43.011772
1030,42.913919
1028,42.861424
1026,42.809276
1024,42.747737
1022,42.67315
1020,42.599926
1018,42.626479
1016,42.512947
1014,42.292917
1012,42.27766
1010,42.311259
1008,42.249397
1006,42.094178
1004,42.076678
1002,42.107655
1000,41.952488
998,41.901819
996,41.935649
994,41.978602
992,41.873537
990,41.749706
988,41.775061
986,41.732457
984,41.659015
982,41.656493
980,41.688535
978,41.595218
976,41.532877
974,41.565284
972,41.493488
970,41.415339
968,41.371713
966,41.365719
964,41.312597
962,41.232203
960,41.242846
958,41.437458
956,41.37468
954,41.215459
952,41.340432
950,41.28606
948,41.258685
946,41.072408
944,40.978204
942,40.81826
940,40.932303
938,40.7009
936,40.781176
934,40.968456
932,40.726207
930,41.039138
928,40.88391
926,40.961023
924,40.744747
922,40.778472
920,40.505787
918,40.447959
916,40.504472
914,40.457936
912,40.651437
910,40.417315
908,40.578288
906,40.541928
904,40.287007
902,40.151141
900,39.978541
898,40.252482
896,40.421251
894,40.78531
892,39.97549
890,40.715498
888,39.965142
886,40.752475
884,40.044652
882,39.898846
880,39.999666
878,40.577208
876,40.689915
874,40.587649
872,40.425034
870,39.879149
868,40.348037
866,39.616459
864,39.43243
862,40.761566
860,40.62342
858,40.339641
856,40.160386
854,40.204901
852,40.215379
850,40.127277
848,40.255087
846,40.156521
844,39.998302
842,39.949071
840,39.831371
838,39.77733
836,39.755178
834,39.817245
832,39.777011
830,39.866747
828,39.696648
826,39.680103
824,39.679203
822,39.621871
820,39.620907
818,39.575347
816,39.487382
814,39.497785
812,39.464662
810,39.491535
808,39.450704
806,39.321234
804,39.466929
802,39.324108
800,39.276633
798,39.395686
796,39.222603
794,39.301585
792,39.194408
790,39.23369
788,39.133653
786,38.961169
784,39.070269
782,39.063778
780,39.128824
778,38.967397
776,38.958345
774,38.90455
772,38.802381
770,38.760613
768,38.80605
766,38.685638
764,38.674764
762,38.606572
760,38.587984
758,38.583634
756,38.430762
754,38.418616
752,38.323873
750,38.403352
748,38.361124
746,38.218889
744,38.212178
742,38.18074
740,38.057614
738,38.12396
736,38.089279
734,38.038578
732,38.006104
730,37.967114
728,37.962568
726,37.823003
724,37.756979
722,37.700655
720,37.617654
718,37.478362
716,37.444109
714,37.314666
712,37.235695
710,37.000892
